category,type,mean_price,mean_rating,mean_reviews
ART_AND_DESIGN,Free,0.0,4.34,27617.3
ART_AND_DESIGN,Paid,1.99,4.73,722.0
AUTO_AND_VEHICLES,Free,0.0,4.18,14140.3
AUTO_AND_VEHICLES,Paid,4.49,4.6,1387.7
BEAUTY,Free,0.0,4.28,7476.2
BOOKS_AND_REFERENCE,Free,0.0,4.35,108163.9
BOOKS_AND_REFERENCE,Paid,4.28,4.28,64.1
BUSINESS,Free,0.0,4.12,31183.2
BUSINESS,Paid,13.23,4.2,3347.8
COMICS,Free,0.0,4.16,56387.9
COMMUNICATION,Free,0.0,4.17,2264939.0
COMMUNICATION,Paid,3.08,4.06,3119.0
DATING,Free,0.0,3.98,32106.3
DATING,Paid,4.49,3.62,450.6
EDUCATION,Free,0.0,4.38,260270.7
EDUCATION,Paid,4.49,4.75,8661.2
ENTERTAINMENT,Free,0.0,4.12,402504.4
ENTERTAINMENT,Paid,3.99,4.6,5004.5
EVENTS,Free,0.0,4.44,2555.8
EVENTS,Paid,109.99,,0.0
FAMILY,Free,0.0,4.18,227067.3
FAMILY,Paid,12.75,4.3,31657.2
FINANCE,Free,0.0,4.14,50222.2
FINANCE,Paid,170.64,3.83,1364.6
FOOD_AND_DRINK,Free,0.0,4.16,71039.5
FOOD_AND_DRINK,Paid,4.24,4.35,1698.5
GAME,Free,0.0,4.28,1492771.8
GAME,Paid,3.46,4.37,19174.7
HEALTH_AND_FITNESS,Free,0.0,4.27,116448.8
HEALTH_AND_FITNESS,Paid,4.21,4.39,2993.8
HOUSE_AND_HOME,Free,0.0,4.2,45186.2
LIBRARIES_AND_DEMO,Free,0.0,4.18,12346.6
LIBRARIES_AND_DEMO,Paid,0.99,,4.0
LIFESTYLE,Free,0.0,4.09,35359.1
LIFESTYLE,Paid,124.26,4.25,2495.9
MAPS_AND_NAVIGATION,Free,0.0,4.06,232212.6
MAPS_AND_NAVIGATION,Paid,5.39,3.86,1437.6
MEDICAL,Free,0.0,4.17,4387.7
MEDICAL,Paid,13.21,4.26,300.1
NEWS_AND_MAGAZINES,Free,0.0,4.13,193596.7
NEWS_AND_MAGAZINES,Paid,1.99,4.8,100.5
PARENTING,Free,0.0,4.34,16378.7
PARENTING,Paid,4.79,3.35,4183.0
PERSONALIZATION,Free,0.0,4.31,287690.9
PERSONALIZATION,Paid,1.85,4.44,5417.6
PHOTOGRAPHY,Free,0.0,4.2,681424.9
PHOTOGRAPHY,Paid,6.1,4.04,10484.3
PRODUCTIVITY,Free,0.0,4.21,287740.5
PRODUCTIVITY,Paid,8.96,4.21,6132.9
SHOPPING,Free,0.0,4.26,445894.3
SHOPPING,Paid,2.74,4.5,242.0
SOCIAL,Free,0.0,4.26,2127538.3
SOCIAL,Paid,5.32,3.7,80.7
SPORTS,Free,0.0,4.22,196332.0
SPORTS,Paid,4.17,4.25,6276.5
TOOLS,Free,0.0,4.04,356879.9
TOOLS,Paid,3.43,4.17,2204.3
TRAVEL_AND_LOCAL,Free,0.0,4.11,254470.9
TRAVEL_AND_LOCAL,Paid,4.16,4.1,1506.1
VIDEO_PLAYERS,Free,0.0,4.06,645420.0
VIDEO_PLAYERS,Paid,2.62,4.1,3341.8
WEATHER,Free,0.0,4.23,195517.5
WEATHER,Paid,4.05,4.37,17055.1
